Ref ID,Issue Category,Issue Description,Reference / Location,Relevant?,Recommended to Action?,Proposed Action / Resolution Strategy,Affected Files / Scope,Current Status in Repo,Decision (Action / Do Not Action),User Notes / Instructions
B1,Blocant,"Abstractele RO și EN sunt goale (în versiunea analizată conțineau 'Abc' / 'Abc EN'). Necesită 250–350 cuvinte structurate, cuvinte-cheie și titlu în română.",p. 2–3 (Abstract RO & EN),Yes,Yes,"Textul a fost schițat în sesiunea 50e7367b, dar încă conține cifrele vechi (1.988x, 96k RPS). Trebuie calibrate valorile (5.6-7.6 ms end-to-end, ~4-5x speedup, factor de lucru 2^255), adăugate 5-7 cuvinte-cheie și titlul oficial în română.","thesis/chapters/2.AbstractRO.tex, thesis/chapters/3.AbstractEN.tex",Partially addressed in 50e7367b (needs calibration),Action,
B2,Blocant,Lipsă secțiune de Related Work / State of the Art comparativ. Secțiunea 1.2 discută doar TDE și 5 flaws fără referințe. Comisia va întreba 'ce este nou?'.,"Cap. 1.2, p. 9",Yes,Yes,"Extinderea secțiunii 1.2 (sau creare Secțiunea 2.2 în Cap. 2) cu analiza lucrărilor fundamentale (Boneh & Lipton 1996, Perlman 2005 Ephemerizer, FADE 2012, Reardon SoK 2013, RFC 6962, CipherSweet/EDPB blind index) și un Tabel Comparativ sintetic (soluție x granularitate, dovadă verificabilă, PQC, retenție, protecție backup, evaluare empirică).","thesis/chapters/4.Introduction.tex, thesis/chapters/5.TheoreticalFoundations.tex, thesis/bibliography.bib",Not started,Action,
B3,Blocant,"Afirmația centrală '1.988,9x mai rapid' nu este susținută corect. Tabelul 5.1 raportează 59,5 µs pentru crypto-shredding (apel Vault HTTP real nu poate dura 59 µs; e un test izolat fără rețea). În realitate end-to-end este 5.6-7.6 ms vs 25-39 ms (~4-5x).","Tab. 5.1, p. 54, Tab. 6.1, p. 11",Yes,Yes,"Declară explicit în text ce măsoară JMH (evaluare computațională locală/in-memory fără rețea). Înlocuiește factorul de ~2.000x cu factorul onest end-to-end de 4-5x în Tabelul 6.1, Abstract și Concluzii.","thesis/chapters/8.Evaluation.tex, thesis/chapters/9.Conclusions.tex, abstracts",Not started,Action,
B4,Blocant,"Redis stochează înregistrări decriptate (PatientResponse în clar), contrar cerinței SR1 ('No unencrypted healthcare fields shall persist inside database tables, write-ahead logs, or Redis caches') și titlului 'zero-plaintext'.","p. 17 (SR1) vs. p. 19, 21",Yes,Yes,"Recomandare dublă: (1) Asigură că persistența Redis pe disc este oprită (save '', appendonly no); (2) Ajustează SR1 și descrierea din Cap. 3/6 specificând că Redis este un cache L2 strict volatil în memoria RAM (TCB), cu TTL de 15 min și evicție proactivă la shredding.","thesis/chapters/5.TheoreticalFoundations.tex, thesis/chapters/6.SystemDesign.tex, thesis/chapters/9.Conclusions.tex",Not started,Action,
M1,Major,"Docker IPC_LOCK doar permite mlock(), nu îl execută. JVM-ul HotSpot nu apelează mlockall() pe heap; afirmația despre blocarea paginilor heap Java în RAM este incorectă.","p. 36, 66, SR3",Yes,Yes,"Corectează textul tehnic: specifică că IPC_LOCK este utilizat nativ de containerul Vault (care face mlock()), în timp ce pentru containerul Spring Boot protecția anti-swap se realizează prin configurarea Docker (--memory-swap = --memory) și zeroizarea scoped în byte[]. Menționează limitările JVM în Secțiunea 6.2.","thesis/chapters/5.TheoreticalFoundations.tex, thesis/chapters/7.Implementation.tex, thesis/chapters/9.Conclusions.tex",Not started,Action,
M2,Major,"NFR2 (failover < 500 ms) încălcat de propriile măsurători (1.84 s re-alegere Raft, 2.15 s rerutare HAProxy). NFR5 (99.99% disponibilitate) nu este verificat deloc.","p. 60 vs. Fig. 3.2, p. 28, Tab. 2.1",Yes,Yes,"NFR2 a fost ajustat la < 2.5 s în Cap. 2 și Cap. 5 în sesiunea 50e7367b. Trebuie actualizată și Figura 3.2 și Secțiunea 3.4.1 (care încă promit <500ms). Pentru NFR5, reformulează-l ca țintă teoretică de SLA quorum Raft sau elimină-l din Tab. 2.1.","thesis/chapters/6.SystemDesign.tex, thesis/figures/fig_vault_raft.pdf, thesis/chapters/5.TheoreticalFoundations.tex",Partially addressed in 50e7367b (Ch. 3 & Fig. 3.2 pending),Action,
M3,Major,"O(1) vs. chei independente per vizită: KEK_patient și KEK_visit sunt independente în Vault. Ștergerea KEK_patient lasă vizitele decriptabile. Ștergerea completă a pacientului cu m vizite este O(m), nu O(1).","p. 22, FR3",Yes,Yes,Fii onest și precis în analiză: distrugerea KEK_patient este O(1) și face profilul demografic ilizibil; ștergerea întregului istoric clinic cu m vizite este O(m) (apeluri API independente rapide în buclă). Previne o întrebare capcană la susținere.,"thesis/chapters/5.TheoreticalFoundations.tex, thesis/chapters/6.SystemDesign.tex, thesis/chapters/8.Evaluation.tex",Not started,Action,
M4,Major,"Reconciliatorul de tombstone-uri citește din DB (findByShreddedTrue()). În scenariul paradoxal definit chiar în teză (restaurare snapshot DB și KMS de la T0 < T1), DB are shredded=false, deci găsește 0 tombstone-uri. Bundle-ul conține și snapshot-ul Vault.","p. 29, 44–47, 61",Yes,Yes,"Explică soluția de producție: reconciliatorul trebuie să citească registrul imuabil extern (chitanțele WORM deletion-receipt_*.json sau topicul Kafka cu retenție lungă). Documentează modul în care snapshot-urile Vault sunt protejate (bariera de criptare Vault, Shamir).","thesis/chapters/6.SystemDesign.tex, thesis/chapters/7.Implementation.tex, thesis/chapters/9.Conclusions.tex",Not started,Action,
M5,Major,"Codul instanțiază 'Dilithium3' (BouncyCastle BCPQC Round 3), în timp ce textul afirmă 'FIPS 204 ML-DSA-65' (standardul finalizat diferă). Verificarea offline din 4.3.3 acoperă doar RSA. Vault RSA folosește padding PSS.","Listing 4.8, p. 43–44",Yes,Yes,Clarifică în text că prototipul folosește implementarea CRYSTALS-Dilithium3 corespunzătoare draft-ului ML-DSA-65. Adaugă parametrul '-sigopt rsa_padding_mode:pss' la exemplul openssl dgst din Secțiunea 4.3.3 și documentează ciclul de viață al cheii private PQC.,thesis/chapters/7.Implementation.tex,Not started,Action,
M6,Major,Canal backend <-> Vault pe HTTP în clar (port 8200) în rețeaua Docker; unseal key cu key-shares=1 scrisă pe volum.,"Fig. 3.2, p. 40",Yes,Yes,"Declară explicit în Secțiunea 3.5.1 și Secțiunea 6.2 (Limitări) că traficul HTTP pe bridge-ul Docker și unseal key cu prag 1 reprezintă simplificări de laborator. Detaliază cerințele de producție: mTLS, AppRole cu politici minimale și Shamir cu prag k >= 3.","thesis/chapters/6.SystemDesign.tex, thesis/chapters/9.Conclusions.tex",Not started,Action,
